"DisplayName","PrimarySmtpAddress","Identity","GroupType","ExternalSenders","Action"
"DG Binary System Admin","admin@mbubinarysystems.onmicrosoft.com","DG Binary System Admin","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Admin","admin@binarysystem.eu","admin","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Agenda","agenda@mbubinarysystems.onmicrosoft.com","DG Binary System Agenda","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Agenda","agenda@binarysystem.eu","agenda","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Alert","alert@mbubinarysystems.onmicrosoft.com","DG Binary System Alert","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Alert","alert@binarysystem.eu","alert","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Amministrazione","amministrazione@mbubinarysystems.onmicrosoft.com","DG Binary System Amministrazione","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Amministrazione","amministrazione@binarysystem.eu","amministrazione","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Apple","apple@mbubinarysystems.onmicrosoft.com","DG Binary System Apple","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Apple","apple@binarysystem.eu","apple","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Available-Developers","available-developers@mbubinarysystems.onmicrosoft.com","DG Binary System Available-Developers","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Available-Developers","available-developers@binarysystem.eu","available-developers","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Bug Sense","bugsense@mbubinarysystems.onmicrosoft.com","DG Binary System Bug Sense","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Bug Sense","bugsense@binarysystem.eu","bugsense","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Delivery","delivery@mbubinarysystems.onmicrosoft.com","DG Binary System Delivery","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Delivery","delivery@binarysystem.eu","delivery","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Deploy","deploy@mbubinarysystems.onmicrosoft.com","DG Binary System Deploy","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Deploy","deploy@binarysystem.eu","deploy","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Developers","developers@mbubinarysystems.onmicrosoft.com","DG Binary System Developers","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Developers","developers@binarysystem.eu","developers","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Developers-EXT","developers-ext@mbubinarysystems.onmicrosoft.com","DG Binary System Developers-EXT","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Developers-EXT","developers-ext@binarysystem.eu","developers-ext","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System DG Binary System Cybersecurity","cybersecurity@mbubinarysystems.onmicrosoft.com","8cb4093d-b22e-4702-b706-6237bfbc217f","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System DG Binary System Cybersecurity","cybersecurity@binarysystem.eu","cybersecurity","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System DG Binary System Managers","managers@mbubinarysystems.onmicrosoft.com","a4f071af-2633-41b5-bfd1-fb8c48e47241","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System DG Binary System Managers","managers@binarysystem.eu","managers","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System DG Binary System Offer Request","offers@mbubinarysystems.onmicrosoft.com","6e7cc59e-ffb6-46d5-b06e-a7fd22b97fd9","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System DG Binary System Offer Request","offers@binarysystem.eu","offers","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System DG Binary System Whistleblowing","whistleblowing@mbubinarysystems.onmicrosoft.com","3e9d44b7-bd25-4d41-9fd4-270c66d236d9","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System DG Binary System Whistleblowing","whistleblowing@binarysystem.eu","whistleblowing","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Enterprise","enterprise@mbubinarysystems.onmicrosoft.com","DG Binary System Enterprise","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Enterprise","enterprise@binarysystem.eu","enterprise","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
